# seg	start	stop	duration
0	1240579783	1240587612	7829.0
1	1240594562	1240606748	12186.0
2	1240624412	1240654372	29960.0
3	1240658942	1240668052	9110.0
4	1240700690	1240735662	34972.0
5	1240743328	1240749001	5673.0
6	1240750849	1240763403	12554.0
7	1240764591	1240772399	7808.0
8	1240784297	1240786108	1811.0
9	1240795605	1240814243	18638.0
10	1240821139	1240832478	11339.0
11	1240838811	1240844083	5272.0
12	1240849944	1240853585	3641.0
13	1240872261	1240906993	34732.0
14	1240914063	1240919356	5293.0
15	1240919428	1240940544	21116.0
16	1240940621	1240961211	20590.0
17	1240961309	1241002495	41186.0
18	1241002600	1241005701	3101.0
19	1241068861	1241073789	4928.0
20	1241088652	1241092348	3696.0
21	1241093492	1241123810	30318.0
22	1241123878	1241173823	49945.0
23	1241204831	1241214069	9238.0
24	1241243169	1241272618	29449.0
25	1241302060	1241309944	7884.0
26	1241310397	1241334204	23807.0
27	1241393338	1241397900	4562.0
28	1241402964	1241409504	6540.0
29	1241417182	1241443783	26601.0
